titles,content
网民要成为清朗舆论的推动者,  ◎书香徐州  舆论定力是舆论场是否成熟的重要标志，是衡量一个媒体、一个平台、一个网民在舆论面前是否有担当的重要标准，也是打赢舆论战的重要保障。  刚读到一篇网文的观点让我很赞赏，特援引给读者分享：网民要成为清朗舆论的推动者。我们憎恨谣言和误导，却往往会不知不觉地为谣言推波助澜。这种尴尬大多源于少问了几个为什么？动动鼠标，多方查证，换位思考，理性判断，谣言和误导就不会轻易将我们带进沟里。  微信的广泛应用，让手机刷屏成为全民性的便捷阅读浏览方式。平常时期的屏上阅读，给人一种平平静静的平常感觉；非常时期的屏上阅读，倒有一种“山雨欲来”的非常印象。鱼龙混杂，泥沙俱下，让人惊忧。此次新冠肺炎大疫来袭，的确有些似是而非、蛊惑煽情的负能量搅局。面对这样一种情况，读者更需有一双分得清好坏善恶的慧眼。媒体、作者、读者、网民贵有识、有择、有思、有疑，且择其善者而从之、倡之，识其恶者而斥之、弃之。越是困难时期，越是要重视舆论，战“疫”进入攻坚期，舆论导向和定力尤为重要。主流媒体要成为社会舆论的分流器和压舱石，自媒体要处理好“聚流量”和“正能量”的关系，众多的网民要成为清朗舆论的推动者。  清朗的舆情需要清朗的心态、清朗的思辨。有一位网友说，屏幕上要能分得清好坏优劣，不能浑眼，不能盲从，不能昧心。人世间并不缺少美，而是缺少发现，关键是要有一双善于发现美的眼睛。“当国家处于逆境、呼唤一种精神时，那比赛就是使命，就是信念，就是一往无前。”这是中国女篮与强队对阵前的动员令。正是这样一种信念和精神，让女篮在2月9日最后一场小组赛中以100比60大胜韩国女篮，以三连胜、小组第一的身份昂首晋级东京奥运会。这样的信息读来多么鼓舞人！  病毒面前，人类没有旁观者。从人性的角度看，如果不能助力，起码应该住口。大疫面前，还有人在那里喋喋不休，幸灾乐祸、落井下石，甚至趁火打劫，不仅丧失人性，有违道义，也自证了卑鄙。此类人物的言与行，与新冠病毒无异，我们必须同仇敌忾。中国经济长期向好的发展趋势不会改变。疫情是暂时的，疫情带来的影响是暂时的，疫情终将被战胜。
上下为难的 “钻石公主”囚笼,"海上五星级酒店——“钻石公主”号邮轮显然已成为日本政府的烫手山芋。
进，无法上岸；退，船上病毒魔影徘徊。对邮轮上的3700人来说，漂在海上无异于与病毒相生相伴。
截至第一财经记者发稿时，据日本厚生劳动省12日统计，已对“钻石公主”号上的492人进行了新型冠状病毒感染检测，确诊人数为174人，其中包括一名上船的检疫官。尽管是先从确诊游客的密切接触者开始进行检测，但目前感染者比例高达35%，形势严峻。
病例数字，也远超日本本土确诊的新冠病毒感染者（29人）。
在世界卫生组织的统计中，确诊时未入境的会被单列在其他地区一栏。因此，这艘邮轮上的乘客与船员，成为了全球新冠疫情统计里一个特殊的存在。船上的乘客中既有打算度蜜月的新婚伉俪，也有庆祝结婚50周年的老夫妇，还有许多只是想度个假的普通人。他们的境况格外牵动人心。
免除所有费用
1月20日，为了迎接中国的农历春节，这条曾被评为“日本最佳”的国际邮轮行驶的并非惯常的日本国内线路，而是走了一条环游东亚的线路。邮轮从横滨出发，先后途径日本的鹿儿岛（1月22日）、中国香港（1月25日）、越南下龙湾（1月28日）、中国台湾的基隆（1月31日），再回到日本境内的冲绳（2月1日）后，计划于2月4日回到横滨港。本次“钻石公主”号邮轮上共载有来自56个国家和地区的2666名乘客和1045名船员。其中，日本游客近1300人，而中国籍乘客达286人。
在1月25日抵达中国香港时，一名住在香港的80岁男子下船回家，而该男子在2月1日被确诊感染了新冠病毒。据香港卫生部门的消息，这名香港游客在登船前的1月19日就出现了咳嗽症状。2月3日，日本政府要求邮轮提前返航，该邮轮比原定日期提前1天抵达横滨港外。
一位匿名的邮轮从业者对第一财经记者表示，其实当邮轮上发生疫情时，各国政府有权根据本国法律拒绝邮轮入境、停靠，而邮轮运营公司所在国家则需承担责任。
“钻石公主”号2004年在日本长崎建造完成下水，也是第一艘以日本的港口（即横滨）为母港的超级豪华邮轮。“钻石公主”号建造费用超过5亿美元，隶属于全球最大度假公司嘉年华集团的邮轮品牌“公主邮轮”旗下。公主邮轮总部位于美国加利福尼亚州；而“钻石公主”号的运营权属于英国，船长也是英国人。
去年12月，“钻石公主”号刚刚经过翻新，由于内部构造奢华，被视为一座“海上五星级酒店”。本次航程的单人费用也在25万~130万日元（约为人民币1.6万元~8.2万元）不等。
在获悉邮轮上的香港籍乘客确诊后，当2月3日该邮轮抵达横滨后，日本政府第一时间派出了数十人检疫团队登船进行大规模检疫，对有咳嗽、发烧症状的120人，以及密切接触过的153人抽取样本。5日，厚生劳动省要求没有出现症状的乘客和船员在邮轮上进行为期14天的隔离。同时，船只停泊在横滨港之外进行检疫，物资靠岸上供给。
隔离期间，船上的宾客可以继续享用免费的网络和电话服务；在舱房内的电视娱乐系统还增设了电视直播频道和多语种的电影选择等。此外，舱房打扫服务将会在宾客的固定户外活动时间进行，由两名船员对舱房进行彻底清洁，包括换洗干净床单和毛巾。
厚生省称，截至9日，共收到来自乘客约1850人份关于药品、生活必需品等方面的需求。目前有750人份需求已得到满足。例如，允许内舱和非阳台客舱的客人，分批分时段去到甲板约一个半小时，呼吸新鲜空气等。
目前，邮轮公司发表声明称，“由于‘钻石公主’号邮轮上发生的特殊情况，将退还乘客所有费用，其中包括船票、机票、酒店及岸上远足费用。此外，乘客在船上额外停留的时间内，将不会被收取任何费用”。对此，有日媒报道，部分乘客得知此消息后表示“心情不错”。
邮轮官网上还写道：“钻石公主”号仍暂定于2月19日解除隔离，除非该疫情有其他不可预见的发展趋势。
要不要全部检测？
如何确保约3700人的乘客与船员健康都能得到保障，成为日本政府的棘手难题。
正在神户的上海交通大学日本研究中心主任季卫东告诉第一财经记者，身边的日本民众会加强防护，但没有特别的恐慌情绪。
多数日本网友都对邮轮上的乘客与船员抱以最大程度的同情：“船上的人挺可怜的，都是被动生病，在这种密闭空间中，不生病也难。”
而让日本民众不理解的是，为何安倍政府不把整艘邮轮上的乘客与船员集中到一个指定的地方进行单独隔离，而是选择密闭的邮轮中。
目前，日本国内也在激辩要不要对船上所有人员实施病毒检查。厚生省此前也曾表示，日方正考虑对于船上的大约3700名乘客和船员实施全员检测，并允许隔离人员在检测结果出来后下船。
但日本官房长官菅义伟在2月10日的记者会上回应道，可以理解民众的担忧，不过对船上所有人都进行病毒检测“目前情况下有些难办”。厚生劳动大臣加藤胜信则透露，政府方面目前正在探讨对全员实施病毒检测的可行性，“想是想这么做，但现在无法断言能做到”。
对于全员检测也有争议。关西福利大学教授片田义明不赞成此举：“这将耗费大量的检测试剂盒，意味着如果日本暴发疫情，我们可能无法迅速应对。”
圣玛丽安娜大学医学院教授国岛广之则认为，是否检测最终将由政客们做出决定。“我们仍然不太了解这种病毒，包括它的传染性有多大。考虑到乘客的焦虑程度，从政治上讲，很可能有必要对每个人进行测试。”
季卫东表示，邮轮上检测人数比例不高，的确是当前的一大问题。“其实要确诊新冠肺炎还是比较复杂。在日本，单个样本的检测时间约为6~7个小时，略比中国长，”他说道，“且检测成本较高，需要特别预算或者保险等来埋单。”
11日，受限于检测能力，厚生省转变了针对“钻石公主”号邮轮的救治方针，即从原计划实施全员病毒检测，转向让老年人等易感人群先下船的方针。厚生省称，自11日起，“钻石公主”号乘客中感染新冠肺炎风险较高群体，如老年人等可以下船，他们将被转移至日本境内的医院等处接受治疗观察。
今年7月，日本将举办东京奥运会，如果感染者数字日益膨胀，可能对运动员和游客带来不利的心理预期。
与此同时，首相安倍晋三将在本周陆续公布针对新冠肺炎的紧急对策。
历来，如何对大型邮轮进行防疫就是个棘手的挑战。有专家表示，现代船舶和邮轮都是高度密闭的场所，为了给旅客提供舒适的海上旅游环境，除了左右舷的所谓景观舱室外，邮轮上的每一个舱室的设计都是密闭的。舱室内部是通过中央空调调节通风的。而如果是内循环系统，旅客呼吸的空气掺杂了人不能感知的浑浊空气，卫生会大打折扣。"
上班做广播体操回家带宝宝运动,"工作之余，王励勤做起广播体操          

            
          

                      
    这个春节假期，上海市体育局竞技体育处处长王励勤过得并不轻松，既要抓好本市一线运动队的疫情防控工作，又要督促各训练单位扎实推进奥运全运备战，保质保量完成各阶段目标任务。为了解掌握各支运动队备战情况及帮助解决运动员、教练员的实际困难和需求，每周他都在各训练基地和市体育局办公室之间两头跑。    退去乒乓奥运冠军、世界冠军的光环，如今王励勤从事竞技体育管理工作，在他先后担任上海市乒羽中心主任、市体职院副院长、市体育局竞技体育处处长期间，上海体育为国家队输送了很多各类人才，并在国内外各级比赛取得了不俗的成绩。今年是决战东京奥运会、备战陕西全运会关键之年，在全民抗击疫情的日子里，上海各支运动队的训练参赛计划作了相应调整。王励勤介绍：“上海各训练基地采取全封闭管理，加强对进出训练基地人员的管理，严禁未经批准人员进入训练基地。运动员、教练员及工作人员每天检测体温并上报检测情况。疫情期间运动队取消了周末休假，虽然很辛苦，但大家都表示理解，当前需要我们齐心协力、众志成城，打赢这场疫情防控阻击战。”    王励勤一直保持健身锻炼的好习惯，建议大家在疫情期间要进行适当的科学健身，提高自身的免疫力。向广大市民倡导简单易学的工间操和居家健身练习方法，在他看来，这是一名体育人应尽的责任。    在上下午的工作间隙，王励勤会在办公室和通畅的走廊，跟着广播做第九套广播体操。王励勤说，“长时间盯着电脑办公，会导致眼睛疲劳和颈、腰椎病，在工作间隙做做工间操、广播体操可以缓解疲劳症状。”    而对于居家健身，王励勤提出八字口诀——因人而异、因地制宜。“大家要根据自己的年龄和身体情况，采取适合自己的训练方法。”王励勤觉得，“运动要做到全面锻炼、循序渐进、贵在坚持，我推荐大家做一些不需要专业运动器材及不太剧烈的运动，更适合大众居家健身，尤其适合老人和小孩。”    首先，他建议大家可以做一些核心肌群的训练，核心肌群是人体的“地基”，支撑着其他肌肉的发展和运动。通过加强核心肌群的训练，可以达到提升身形姿态及运动技能的目的。其次，可以做一些身体各部位的拉伸运动，既可以作为运动前热身，也可以作为运动后的放松恢复。    如今的王励勤，在家里还是个超级“奶爸”，女儿还不到三岁，他已经开始为女儿制定科学的训练计划了。如何带宝宝运动？王励勤身体力行，向广大年轻的奶爸奶妈们推荐。“我会辅助她做平板支撑的运动，让她四肢撑着垫子，用手轻轻托举她的腰腹部，帮助稳定身体，保持10到30秒，家长可以根据孩子的实际情况调整托举力度大小和保持的时间长短，这种练习的运动强度不大也没有危险性。”他欣慰地说，女儿对运动的兴趣很高非常喜欢。“运动对孩子的成长很有帮助，家长在居家健身时，可以带领孩子一起参与，这样既能强身健体，又可以增进情感交流和家庭和睦。”    本报记者 陶邢莹"
日媒称超过100个国家    和地区首脑将出席   东京奥运会开幕式,    日本媒体12日报道，将有超过100个国家和地区的领导人参加东京奥运会开幕式。    日本放送协会（NHK）报道，日本政府将在7月24日晚的开幕式之前，为这些领导人举行欢迎宴会。宴会本来计划在作为主体育场的国际竞技场附近的迎宾馆举行，但因为参加人数太多，现在计划将宴会地点改在皇居。    报道说，日本天皇、皇后以及首相安倍晋三都将出席欢迎会。 据新华社
中国男篮迎战强敌,    本报讯（记者陈嘉堃）国际篮联前天公布了东京奥运会男篮落选赛的赛程，中国男篮小组赛首战将于6月24日对阵东道主加拿大队，次战6月25日对阵希腊队。两场比赛间隔不到24小时，对于出线机会渺茫的中国队来说，这又是一次难上加难的挑战。    中国男篮由于去年在本土举行的篮球世界杯上表现欠佳，无缘直通东京奥运会的资格，只能参加这次落选赛。比赛共有24支球队参加，它们分成4个赛区，每个赛区又分成两个小组，每组3支球队。根据规则，中国队与加拿大队、希腊队同组，小组前两名晋级赛区半决赛，迎战B组土耳其、捷克和乌拉圭所在小组的前两名，赛区冠军获得一张东京奥运会门票。从目前世界排名和各队实力分析，中国队所在小组虽然相对较弱，但中国队要想出线的难度仍然很大。加拿大队整体实力很强，队中有多名球员在NBA打球；希腊队则由“字母哥”领衔，实力更是强悍。    值得一提的是，由于受新冠肺炎疫情的影响，本赛季CBA联赛已被迫延迟进行，这样留给中国男篮的备战时间非常少，在当前情况下，中国队如何在赛前完成磨合和状态调整也是一大挑战。图表详见本版PDF
中国女足将战韩国,　　东京奥运会女足预选赛，B组的最后一轮较量昨天战罢。在与东道主澳大利亚争夺小组头名的这场比赛中，中国女足1:1惜平对手，最终获得了本组第二。根据赛程，接下来中国女足将与韩国队争夺东京奥运会入场券。　　本次女足奥预赛，中国女足遭遇了前所未有的困难，除了主场变客场、比赛时间一再变更之外，全队还遭遇了“隔离”不能正常训练的挑战。但从前两场的表现来看，在贾秀全的带领之下，姑娘们顶住了压力，克服了体能储备不足，主力阵容残缺的困难，先后以6:1和5:0战胜了泰国与中国台北，提前拿到了小组出线权。但是因为在净胜球方面略输澳大利亚，因此本场比赛开始之前，中国女足暂列B组第二。根据亚足联半决赛交叉对阵的规定，如果维持这个排名，中国女足将在争夺奥运会资格的最后决战中，挑战A组第一韩国，而澳大利亚则迎战实力相对较弱的A组第二越南。　　这场与澳大利亚的比赛，高潮出现在了最后时段，第86分钟，中国女足凭借唐佳丽的世界波打破了僵局，但遗憾的是在伤停补时阶段，澳大利亚队将比分扳成了1:1平。这样，中国女足就只能以本组第二名的身份晋级半决赛。　　根据安排，半决赛将采取主客场制，两场比赛的时间分别是3月6日和11日。中国女足将先客后主对阵韩国女足。但鉴于目前国内疫情影响暂时无法进行体育赛事，中国女足接下来的征战还存在一些变数，不过中国足协已经提前启动了相关预案。　　本报记者 王战荣   
中国女足离赢球 只差两分钟,唐佳丽在比赛中打入关键进球    北京时间昨天下午，2020年东京奥运会女足亚洲区预选赛B组进行了最后一轮较量，中国女足1比1战平澳大利亚女足，获得小组第二名。至此，中国女足在附加赛中的对手随之出炉，球队将先客后主对阵韩国女足。    遗憾战平    女足姑娘只是差了一些运气    在小组第二轮战胜中国台北女足之后，中国女足已经提前锁定一个小组晋级名额，同澳大利亚女足的比赛结果将决定中国女足在附加赛中的对手，因此，本场比赛不仅是中国女足本次小组赛遇到的真正考验，更是在一定程度上决定球队冲击东京奥运会结果的关键一战。    中国女足在小组前两场比赛中都抢到了很好的开局，早早取得进球，不过由于受到体能消耗的影响，球队到了下半场出现了一些疲软状态。此役对阵亚洲排名第一、世界第七位的澳大利亚女足，且对手占尽天时地利人和，中国女足表现仍可圈可点。本场比赛，中国女足沿用前两场的首发阵容，对手也派上全部主力。面对强大的对手，女足姑娘们的动力和欲望更强，同时受到的威胁和冲击也更大。    上半场，中国女足用积极的表现创造了一些机会，对对手造成一定威胁，王珊珊的一个单刀机会被误判成越位。在上半场临近结束的时候，又是王珊珊的射门击中门框被弹出。    下半场，双方依然势均力敌，都创造出一些好机会，比赛最后20分钟，中国女足依然能够进行有效的前场施压并且制造威胁。第85分钟，功夫不负有心人，唐佳丽劲射破门，只可惜好景不长，进入到伤停补时第2分钟，澳大利亚女足将比分扳平，中国队离胜利只差最后2分钟。    在已经提早结束的A组比赛中，韩国女足获得小组头名，越南女足排名第二，接下来的小组赛将与B组前两名进行交叉对阵。中国女足将对阵韩国女足，两个回合的比赛时间分别是3月6日和11日，由于目前国内疫情影响暂时无法进行体育赛事，中国足协针对接下来的赛程已经提前启动了相关预案。    焦点球员    唐佳丽五年蛰伏换今朝爆发    对阵泰国女足时的梅开二度、对阵中国台北女足时的首开纪录、对阵澳大利亚女足时的打破僵局，四个进球，是中国女足前锋唐佳丽在此次奥预赛小组赛中交出的成绩单。尤其是在对阵澳大利亚女足的这场比赛中，双方僵持不下，唐佳丽的“大心脏”破门帮助中国女足取得领先。尽管她和队友们没能将胜果保持到最后，但这个进球足以反映出整支球队在那时那刻的信念和倔强。    三场比赛打入四球，这无疑可以让年轻的唐佳丽收获更多信心，这一天攻破澳大利亚女足球门后的她毫不掩饰自己的激动，也向外界释放着她的自信。速度快、向前能力强、有很好的技术功底并且在前场有创造力，这是本次奥预赛小组赛唐佳丽留给人们最直观的印象。    其实早在2015年，20岁的唐佳丽就曾跟随中国女足征战加拿大女足世界杯，并在小组赛第二轮对阵荷兰队的比赛中首发登场，全场贡献10次射门，其中一次击中横梁。当时，国际足联官网专门点评到唐佳丽，称她给中国女足带来了活力和能量，同时还透露她儿时的一段往事，这个上海姑娘在12岁时因为在世界杯赛场上目睹巴西球星玛塔的表现，所以才在年少的心中种下梦想的种子。    然而在加拿大世界杯之后的几年，唐佳丽似乎淡出国家队，直到2019年，凭借联赛中的优异表现，她再一次得到国家队征召，这一次，她的表现更加稳固、抢眼。    对于唐佳丽和她的队友们来讲，这次出征奥预赛小组赛的过程充满艰辛和未知，但是姑娘们的骨子里是坚韧。前两场比赛结束后在展望同澳大利亚女足的比赛时，唐佳丽认为这将是对球队更大的考验，她或许不会想到，自己就是率先打破僵局的那个人。能够在奥预赛上证明自己并且帮助到球队，这是唐佳丽过去几年努力的收获。    当然，她和所有的姑娘们一样，梦想没有止步，更想到奥运会的舞台上去释放自己的能量。“不管对手是谁，只要我们认真完成自己的任务，努力踢好每一场比赛，我们就是最好的。”战平澳大利亚女足之后，唐佳丽谈及即将在附加赛中对阵韩国女足时这样说道。    3月16日，唐佳丽将度过自己25岁生日，如果中国女足能够在3月6日和11日两个回合的较量中战胜韩国女足从而收获东京奥运会入场券，那么这将是她收到的最好的生日礼物。    赛场观察    对球队的改造收到成效    澳大利亚女足是中国女足7年多以来都没能战胜过的对手，本场比赛中国女足打法对头，信心和士气十足。在这场强强对话中，姑娘们展现出非常好的竞技状态，在攻防两端的表现达到很高的水准。与小组赛前两场不同，澳大利亚队的确给中国队制造了更多的威胁，在场面上也给中国女足很多压迫，但中国女足面对压力时并没有被束缚，依然完成了很多高质量的进攻配合，通过个人细腻的技术创造机会。在防守端全队一直处于高强度逼抢，特别是在第60分钟到第70分钟体能达到极限时依然能做到每球必争。    中国女足在本场比赛中的表现让人眼前一亮，过去这段时间教练组对于球队的改造和捏合收到不错成效。出征奥预赛之前，外界对于中国女足冲击东京奥运会的前景忧心忡忡，小组赛前两战，球队面对的对手实力较弱，不过那时的中国女足自身状况也并不好。由于众所周知的原因，原本能够主场作战的中国女足，只能临时远赴澳大利亚参赛，抵达之后球队被隔离数日导致无法进行有球训练，这对于球队的体能和技战术磨合都是个不小的考验。    好在中国女足顶住压力，前两战用两场大胜为自己积累信心，更是找回自己应有的比赛感觉。小组赛末战对阵澳大利亚女足，中国女足的状态回归正常。一场遗憾的平局让中国女足屈居小组第二位，附加赛将在三周后开始，面对亚洲第五、世界第20位的韩国女足，想必中国女足只要能够保持住当下的状态和势头，东京奥运会的入场券并非可望不可及。中国女足昨天的表现足以为自己增长能量和信心，在附加赛之前，中国女足还将有一定的调整空间和余地。    文/本报记者  王帆  统筹/杜锐    供图/新华社
女足传递“跨越时空的能量”,　　昨日，在东京奥运会预选赛B组最后一轮比赛中，中国女足客场1比1战平世界第7、东道主澳大利亚，因净胜球劣势屈居小组第2。　　受疫情影响，中国女足此前的备战遭遇了主场更换、主力缺阵、训练不系统等诸多困难。逆境之下，球队展示了积极的精神风貌，交出一份让外界眼前一亮的答卷。接下来附加赛与韩国队的两回合较量，将是她们冲击东京奥运会的终极考验。　　澳大利亚是非常强的对手，通过今天的比赛我们找到了信心，也看到了差距，中国女足需要坚持自己的方向，才能走好漫漫长路。 ——贾秀全　　女足奥预赛战绩　　中国 1比1 澳大利亚　　中国 5比0 中国台北　　中国 6比1 泰国　　焦点　　姑娘们求胜欲让人动容　　作为疫情期间出战国际赛事的国家队之一，中国女足从出发那天起就遭遇了诸多不便。不仅从苏州前往上海浦东机场的路上遭遇波折，到达澳大利亚布里斯班后，又马上被隔离在酒店。　　1月29日到2月5日，球队整整8天在酒店接受隔离。其间，全队一切活动都被限制在所住楼层，正常的有球训练也成了奢望。无奈之下，教练组只能在队内微信群内通过比赛视频讲解战术，队员们也时常在群里互相鼓劲，共渡难关。　　为了保持身体状态，队员们只能在酒店走廊铺上瑜伽垫，坐在地上做简单的力量训练。由于没有足够的器械，她们以徒手练习为主，颠球成了保持球感的唯一方式。有队员向新京报记者表示，教练组在走廊尽头挂起的那面五星红旗，成了自己坚持的动力。　　“中国女足从不惧怕任何困难。”隔离期间，中国足协副主席孙雯在接受采访时充满底气，而姑娘们也在比赛中用实际行动给予回应。　　首战泰国队，中国女足在64分钟内狂轰6球，以6比1取胜。不少球迷赛后打趣，女足姑娘们憋坏了。当所有人以为大胜泰国只是昙花一现时，中国女足又在与中国台北之战中，取得一场5比0的大胜。　　前两战过后，主帅贾秀全称赞了队员的求胜欲望。这也许是在遭遇多重逆境之后，中国女足被激发出的最有价值的精神力量。末轮对阵东道主澳大利亚险些取胜，姑娘们的求胜欲望让人动容。“中国女足没能战胜对手，但表现真的很棒，这不仅仅是一场比赛，更是一场跨越时空的能量传递。”赛后，有媒体人为女足姑娘们点赞。　　亮点　　攻击线4人轰进11球　　昨日对阵澳大利亚，贾秀全排出跟前两场一样的首发阵容。这样做，保持了阵容的稳定性，但也凸显了人手不够的现实。　　因为疫情，中国女足的参赛阵容严重不整，只有21名队员来到澳大利亚。王霜、姚伟、吕悦云、李梦雯4名主力滞留国内，未能随队出征。　　相比前场和后防，人员不足在中场位置上的隐患最为明显。21人中，有国际比赛经验的后腰只有马君、姚凌薇两人，其余中场队员不是偏向进攻，就是国家队经验不多的小将。3场比赛，马君、姚凌薇这对苏宁女足的后腰组合保持全勤。　　在赢下中国台北之后，贾秀全表示，人员调整可能要等到附加赛阶段才能进行，而中场是最需要充实的位置，毕竟对手韩国队的进攻倾向于中路渗透，中国女足想要战胜对手，必须在中场囤积更多兵力。　　硬币总有两面，人员缺阵也有积极的一面。由于缺少了王霜，贾秀全这次采用了李影和王珊珊的双前锋组合，两人的配合相比东亚杯时将王霜顶在锋线上的尝试，更为有效。　　利用两人的穿插制造出的空间，边前卫唐佳丽和张馨获得了更多进攻机会。4人组成的攻击线包办了中国女足12个进球中的11个。在东亚杯上默默无闻的唐佳丽成了最大发现，她3战打进4球。尤其是与澳大利亚的小组收官战，她打进的世界波，一度帮助中国队领先。　　可喜的是，中国女足高进球数的背后是进攻效率的提高。3场比赛，中国女足不仅射门数多，射正率和进球转化率也都接近50%，这一点比去年东亚杯提高了不少。即便面对澳大利亚的强硬防守，球队的进攻效率也保持了较好水平，全场17脚射门有7次射正，其中还有一脚打中门框。　　疑点　　附加赛主场或落户泰国　　本次女足奥预赛B组比赛地经历了两次变更，过程一波三折。赛事最初定于武汉进行，但随着疫情暴发，该赛事成了“烫手山芋”，在南京先接手再反悔之后，国内没有地方愿意承办，赛事最终落户澳大利亚悉尼。　　由于比赛很早就确定在武汉进行，中国女足的前期集训地也安排在武汉，便于球员适应当地的气候、场地等条件。对中国女足来说，比赛两次易地举行最大的不利是失去了原有的主场优势。　　更糟的是，主场优势落到了小组最强对手澳大利亚手中。随着主场优势消失，“主力缺阵”、“长期隔离”、“训练不系统”等诸多本不存在的困难也相继产生。如今拿到小组第2晋级附加赛，对历经困难的中国女足来说，实属不易。　　根据附加赛出线球队交叉对阵的赛制，中国女足将与A组第1韩国队进行主客场两回合较量，争夺一个奥运名额。赛程显示，中国女足先客后主，比赛时间分别为3月6日和11日。　　由于受疫情影响，国内城市短期内仍无法承办中国女足附加赛的主场比赛。据了解，中国足协对此已有相关预案，中国女足的附加赛主场比赛很可能设在第3方中立场地，泰国有望成为首选。在对韩国的客场比赛到来前，中国女足将继续留在澳大利亚备战。　　采写/新京报记者 徐晓帆
中国队平澳大利亚队,2月13日，中国队球员王珊珊（左）在比赛中射门。当日，在澳大利亚悉尼进行的东京奥运会女足预选赛亚洲区B组比赛中，中国队以1∶1战平澳大利亚队。     新华社发
中韩将死磕奥运会资格,  信息时报讯（记者 邹甜） 2020年东京奥运会女足亚洲区预选赛B组末轮争夺昨日打响，中国女足与澳大利亚女足上演头名之争。上半场王珊珊单刀误判为越位，下半场第85分钟唐佳丽劲射破门，但终场前澳大利亚队将比分扳平，最终双方战成1:1平。中国女足以B组第二的成绩晋级附加赛，将与韩国女足争夺一张东京奥运会入场券。  澳大利亚和中国提前一轮晋级附加赛，但澳大利亚赛前比中国队多3个净胜球，中国女足只有取胜才能拿到小组头名。不过，面对世界排名第7的澳大利亚队，中国女足未能如愿“抢开局”。  上半场，澳大利亚掌握场上节奏，但中国女足进攻更积极，频频获得威胁射门。第35分钟，唐佳丽前场直塞，将球传给王珊珊，球到后者脚下后形成单刀，但边裁示意越位在线。通过慢镜头显示，这一判罚是明显的误判。上半场结束前，王珊珊还有一脚远射击中横梁。易边再战，双方继续打对攻，直到第85分钟，王珊珊右路拿球妙传给马君，后者脚后跟传球给中路的唐佳丽，唐佳丽一脚劲射洞穿对方大门，中国女足打破场上僵局。不过，中国队没能将这一比分保持到终场，第93分钟，中国女足后防出现漏洞，范艾默德远射破门，双方最终握手言和。  赛后，中国女足主帅贾秀全说，“今天我们离胜利很近，但没有最后抓住，这还是值得我们反思和总结。”他表示目前球队状态不是最好，临门一脚仍有欠缺。接下来，中国女足将留在澳大利亚进行调整，继续备战3月6日和11日，主客场与韩国女足的两场附加赛。
日防疫措施挨轟,"    日防疫措施挨轟

    據《環球時報》、中新社報道：日本放送協會(NHK)十三日統計稱，目前，日本國內共有新型冠狀病毒肺炎確診病例二百五十一例，其中二百一十八例來自“鑽石公主”號郵輪。
    檢疫人員首確診
    此外，參加“鑽石公主”號郵輪乘客檢疫工作的一名日本檢疫人員首次被確診感染。該男子本月三日晚至四日晚在船上分發調查表格、測量乘客體溫等，其間一直戴着口罩和手套，但是沒有戴護目鏡，也沒有穿全身防護服。
    日本厚生勞動大臣加藤勝信十二日表示，在調查該人員感染的原因和渠道的同時，將採取對策徹底防止檢疫人員感染。他當天還在日本眾議院預算委員會上表示，將“鑽石公主”號的確診患者運送到陸地醫療機構救治的過程，存在傳染風險，因此希望各政府機構討論使用醫療船救治。
    恐影響東京奧運
    隨着確診數字日漸上升，日本政府的擔憂、船上人員的不滿和外界的批評接踵而至。《每日新聞》十一日報道稱，日本政府正竭力說服各家媒體，稱“郵輪上的乘客沒有登陸日本，不能計入日本的感染人數”，“這樣做可能會導致日本和中國一樣淪為被其他國家禁止入境的國家”。世衛組織也已應日本的要求，將該郵輪上的感染患者列為“其他”。共同社十二日稱，目前除了中國，包括日本在內多個國家也是國際社會的擔憂對象。圍繞七月將開幕的東京奧運會，日本政府計劃向各參賽國說明日方針對疫情的對策，強調“安全安心的奧運會”，力求消除不安。
    《日本經濟新聞》十二日稱，日本政府對“鑽石公主”號郵輪疫情的應對措施遭到批評，俄羅斯外交部官員稱之為“非常混亂”。《紐約時報》稱，日本在處理該事件中最大的問題之一是：為甚麼不對船上的所有人進行病毒檢測？日本官員們的解釋是，該國根本沒有能力對船上的每個人檢測。
    據媒體報道，日本國立感染症研究所和全國各大城市的所有地方衛生研究所，一天最多可以檢測一千五百人。日本首相安倍晉三十二日表示，將動用民間機構一起，對船上所有人進行病毒檢測。
    日首現死亡病例
    據日本厚生勞動省通報，日本十三日出現首例新冠肺炎死亡病例，為一名家住神奈川縣的八十多歲的女性。據悉，該患者於一月二十二日出現身體不適，二月一日被診斷為新冠肺炎並住院。二月十二日狀況出現惡化，十三日死亡。該女性沒有出國旅行的經歷，初步懷疑其是在日本感染，但感染路徑尚不明確。
    此外，當天日本還出現了首例醫務人員感染者，為家住和歌山縣的一名男性外科醫生。該醫生出現相關症狀前的十四天沒有出國經歷，具體感染原因也未明確，政府正調查其密切接觸者和感染源。"
